Episode, Total Reward, Epsilon, Best Reward
1, -10.00, 1.0000, -10.00
2, -10.00, 1.0000, -10.00
3, -20.00, 1.0000, -10.00
4, -10.00, 1.0000, -10.00
5, -10.00, 1.0000, -10.00
6, 20.00, 1.0000, 20.00
7, -10.00, 1.0000, 20.00
8, -10.00, 1.0000, 20.00
9, -10.00, 1.0000, 20.00
10, -20.00, 1.0000, 20.00
11, 0.00, 1.0000, 20.00
12, 20.00, 1.0000, 20.00
13, -10.00, 1.0000, 20.00
14, -10.00, 1.0000, 20.00
15, 0.00, 1.0000, 20.00
16, -10.00, 1.0000, 20.00
17, -10.00, 1.0000, 20.00
18, -10.00, 1.0000, 20.00
19, -10.00, 1.0000, 20.00
20, -10.00, 1.0000, 20.00
21, -10.00, 1.0000, 20.00
22, -10.00, 1.0000, 20.00
23, 0.00, 1.0000, 20.00
24, 0.00, 1.0000, 20.00
25, 0.00, 1.0000, 20.00
26, 20.00, 1.0000, 20.00
27, 0.00, 1.0000, 20.00
28, -10.00, 1.0000, 20.00
29, -10.00, 1.0000, 20.00
30, -10.00, 1.0000, 20.00
31, -10.00, 1.0000, 20.00
32, -10.00, 1.0000, 20.00
33, 0.00, 1.0000, 20.00
34, -10.00, 1.0000, 20.00
35, -10.00, 1.0000, 20.00
36, -10.00, 1.0000, 20.00
37, 20.00, 1.0000, 20.00
38, -10.00, 1.0000, 20.00
39, -10.00, 1.0000, 20.00
40, -10.00, 1.0000, 20.00
41, -10.00, 1.0000, 20.00
42, -10.00, 1.0000, 20.00
43, -10.00, 1.0000, 20.00
44, -10.00, 1.0000, 20.00
45, -10.00, 1.0000, 20.00
46, 0.00, 1.0000, 20.00
47, -10.00, 1.0000, 20.00
48, -10.00, 1.0000, 20.00
49, -10.00, 1.0000, 20.00
50, -10.00, 1.0000, 20.00
51, -10.00, 1.0000, 20.00
52, 20.00, 1.0000, 20.00
53, -10.00, 1.0000, 20.00
54, 0.00, 1.0000, 20.00
55, -20.00, 1.0000, 20.00
56, -10.00, 1.0000, 20.00
57, -10.00, 1.0000, 20.00
58, -10.00, 1.0000, 20.00
59, -10.00, 1.0000, 20.00
60, -10.00, 1.0000, 20.00
61, 0.00, 1.0000, 20.00
62, -10.00, 1.0000, 20.00
63, -10.00, 1.0000, 20.00
64, -10.00, 1.0000, 20.00
65, -10.00, 1.0000, 20.00
66, 20.00, 1.0000, 20.00
67, -20.00, 1.0000, 20.00
68, -10.00, 1.0000, 20.00
69, -20.00, 1.0000, 20.00
70, 0.00, 1.0000, 20.00
71, 20.00, 1.0000, 20.00
72, 0.00, 1.0000, 20.00
73, -10.00, 1.0000, 20.00
74, -10.00, 1.0000, 20.00
75, -10.00, 1.0000, 20.00
76, 20.00, 1.0000, 20.00
77, 0.00, 1.0000, 20.00
78, -10.00, 1.0000, 20.00
79, -10.00, 1.0000, 20.00
80, -10.00, 1.0000, 20.00
81, -20.00, 1.0000, 20.00
82, -10.00, 1.0000, 20.00
83, 0.00, 1.0000, 20.00
84, 90.00, 1.0000, 90.00
85, -20.00, 1.0000, 90.00
86, -20.00, 1.0000, 90.00
87, -10.00, 1.0000, 90.00
88, -10.00, 1.0000, 90.00
89, -10.00, 1.0000, 90.00
90, 0.00, 1.0000, 90.00
91, -10.00, 1.0000, 90.00
92, -10.00, 1.0000, 90.00
93, -10.00, 1.0000, 90.00
94, -10.00, 1.0000, 90.00
95, -10.00, 1.0000, 90.00
96, 0.00, 1.0000, 90.00
97, -20.00, 1.0000, 90.00
98, -10.00, 1.0000, 90.00
99, -10.00, 1.0000, 90.00
100, -10.00, 1.0000, 90.00
101, -10.00, 1.0000, 90.00
102, 0.00, 1.0000, 90.00
103, 0.00, 1.0000, 90.00
104, 0.00, 1.0000, 90.00
105, -10.00, 1.0000, 90.00
106, -10.00, 1.0000, 90.00
107, -20.00, 1.0000, 90.00
108, 0.00, 1.0000, 90.00
109, -10.00, 1.0000, 90.00
110, -10.00, 1.0000, 90.00
111, -10.00, 1.0000, 90.00
112, -10.00, 1.0000, 90.00
113, -10.00, 1.0000, 90.00
114, -10.00, 1.0000, 90.00
115, -20.00, 1.0000, 90.00
116, -10.00, 1.0000, 90.00
117, -20.00, 1.0000, 90.00
118, -10.00, 1.0000, 90.00
119, -10.00, 1.0000, 90.00
120, 0.00, 1.0000, 90.00
121, -10.00, 1.0000, 90.00
122, -10.00, 1.0000, 90.00
123, -10.00, 1.0000, 90.00
124, -10.00, 1.0000, 90.00
125, 0.00, 1.0000, 90.00
126, 90.00, 1.0000, 90.00
127, -10.00, 1.0000, 90.00
128, -10.00, 1.0000, 90.00
129, -10.00, 1.0000, 90.00
130, 50.00, 1.0000, 90.00
131, 0.00, 1.0000, 90.00
132, -10.00, 1.0000, 90.00
133, -10.00, 1.0000, 90.00
134, -10.00, 1.0000, 90.00
135, 50.00, 1.0000, 90.00
136, -10.00, 1.0000, 90.00
137, -10.00, 1.0000, 90.00
138, -10.00, 1.0000, 90.00
139, -10.00, 1.0000, 90.00
140, -10.00, 1.0000, 90.00
141, 0.00, 1.0000, 90.00
142, -10.00, 1.0000, 90.00
143, 0.00, 1.0000, 90.00
144, -10.00, 1.0000, 90.00
145, -10.00, 1.0000, 90.00
146, -10.00, 1.0000, 90.00
147, -10.00, 1.0000, 90.00
148, -10.00, 1.0000, 90.00
149, -10.00, 1.0000, 90.00
150, 0.00, 1.0000, 90.00
151, -10.00, 1.0000, 90.00
152, -10.00, 1.0000, 90.00
153, 0.00, 1.0000, 90.00
154, -10.00, 1.0000, 90.00
155, 0.00, 1.0000, 90.00
156, -10.00, 1.0000, 90.00
157, -10.00, 1.0000, 90.00
158, 0.00, 1.0000, 90.00
159, -10.00, 1.0000, 90.00
160, -10.00, 1.0000, 90.00
161, -10.00, 1.0000, 90.00
162, -10.00, 1.0000, 90.00
163, -10.00, 1.0000, 90.00
164, 20.00, 1.0000, 90.00
165, 0.00, 1.0000, 90.00
166, -10.00, 1.0000, 90.00
167, -10.00, 1.0000, 90.00
168, -10.00, 1.0000, 90.00
169, 0.00, 1.0000, 90.00
170, -10.00, 1.0000, 90.00
171, -10.00, 1.0000, 90.00
172, -10.00, 1.0000, 90.00
173, 0.00, 1.0000, 90.00
174, 0.00, 1.0000, 90.00
175, -10.00, 1.0000, 90.00
176, -10.00, 1.0000, 90.00
177, -10.00, 1.0000, 90.00
178, -10.00, 1.0000, 90.00
179, -10.00, 1.0000, 90.00
180, -10.00, 1.0000, 90.00
181, -10.00, 1.0000, 90.00
182, -10.00, 1.0000, 90.00
183, -10.00, 1.0000, 90.00
184, -10.00, 1.0000, 90.00
185, -10.00, 1.0000, 90.00
186, 0.00, 1.0000, 90.00
187, -10.00, 1.0000, 90.00
188, -20.00, 1.0000, 90.00
189, -10.00, 1.0000, 90.00
190, 20.00, 1.0000, 90.00
191, -10.00, 1.0000, 90.00
192, -20.00, 1.0000, 90.00
193, -10.00, 1.0000, 90.00
194, -10.00, 1.0000, 90.00
195, 0.00, 1.0000, 90.00
196, -10.00, 1.0000, 90.00
197, -10.00, 1.0000, 90.00
198, -10.00, 1.0000, 90.00
199, -10.00, 1.0000, 90.00
200, -10.00, 1.0000, 90.00
201, -10.00, 1.0000, 90.00
202, -10.00, 1.0000, 90.00
203, 0.00, 1.0000, 90.00
204, -10.00, 1.0000, 90.00
205, -10.00, 1.0000, 90.00
206, -10.00, 1.0000, 90.00
207, -10.00, 1.0000, 90.00
208, 0.00, 1.0000, 90.00
209, -10.00, 1.0000, 90.00
210, -10.00, 1.0000, 90.00
211, -10.00, 1.0000, 90.00
212, -10.00, 1.0000, 90.00
213, -10.00, 1.0000, 90.00
214, -10.00, 1.0000, 90.00
215, -10.00, 1.0000, 90.00
216, -10.00, 1.0000, 90.00
217, -10.00, 1.0000, 90.00
218, -10.00, 1.0000, 90.00
219, -10.00, 1.0000, 90.00
220, 20.00, 1.0000, 90.00
221, -10.00, 1.0000, 90.00
222, -10.00, 1.0000, 90.00
223, -10.00, 1.0000, 90.00
224, 0.00, 1.0000, 90.00
225, -10.00, 1.0000, 90.00
226, -10.00, 1.0000, 90.00
227, -10.00, 1.0000, 90.00
228, -10.00, 1.0000, 90.00
229, 0.00, 1.0000, 90.00
230, -10.00, 1.0000, 90.00
231, -10.00, 1.0000, 90.00
232, -10.00, 1.0000, 90.00
233, 0.00, 1.0000, 90.00
234, 0.00, 1.0000, 90.00
235, -10.00, 1.0000, 90.00
236, -10.00, 1.0000, 90.00
237, -10.00, 1.0000, 90.00
238, -10.00, 1.0000, 90.00
239, 0.00, 1.0000, 90.00
240, -10.00, 1.0000, 90.00
241, 0.00, 1.0000, 90.00
242, -10.00, 1.0000, 90.00
243, 0.00, 1.0000, 90.00
244, 0.00, 1.0000, 90.00
245, 0.00, 1.0000, 90.00
246, -10.00, 1.0000, 90.00
247, 20.00, 1.0000, 90.00
248, -10.00, 1.0000, 90.00
249, -10.00, 1.0000, 90.00
250, -10.00, 1.0000, 90.00
251, 0.00, 1.0000, 90.00
252, -10.00, 1.0000, 90.00
253, -10.00, 1.0000, 90.00
254, 20.00, 1.0000, 90.00
255, -10.00, 1.0000, 90.00
256, 0.00, 1.0000, 90.00
257, -10.00, 1.0000, 90.00
258, -10.00, 1.0000, 90.00
259, 0.00, 1.0000, 90.00
260, -10.00, 1.0000, 90.00
261, -10.00, 1.0000, 90.00
262, 0.00, 1.0000, 90.00
263, -10.00, 1.0000, 90.00
264, -10.00, 1.0000, 90.00
265, -20.00, 1.0000, 90.00
266, 0.00, 1.0000, 90.00
267, -10.00, 1.0000, 90.00
268, -10.00, 1.0000, 90.00
269, -10.00, 1.0000, 90.00
270, -10.00, 1.0000, 90.00
271, 0.00, 1.0000, 90.00
272, 20.00, 1.0000, 90.00
273, -10.00, 1.0000, 90.00
274, 0.00, 1.0000, 90.00
275, 20.00, 1.0000, 90.00
276, -10.00, 1.0000, 90.00
277, -10.00, 1.0000, 90.00
278, 0.00, 1.0000, 90.00
279, 0.00, 1.0000, 90.00
280, -10.00, 1.0000, 90.00
281, 90.00, 1.0000, 90.00
282, -10.00, 1.0000, 90.00
283, -20.00, 1.0000, 90.00
284, -10.00, 1.0000, 90.00
285, -10.00, 1.0000, 90.00
286, 0.00, 1.0000, 90.00
287, -10.00, 1.0000, 90.00
288, -10.00, 1.0000, 90.00
289, -10.00, 1.0000, 90.00
290, -10.00, 1.0000, 90.00
291, 20.00, 1.0000, 90.00
292, -10.00, 1.0000, 90.00
293, 0.00, 1.0000, 90.00
294, -10.00, 1.0000, 90.00
295, -20.00, 1.0000, 90.00
296, 0.00, 1.0000, 90.00
297, -10.00, 1.0000, 90.00
298, -10.00, 1.0000, 90.00
299, -10.00, 1.0000, 90.00
300, 0.00, 1.0000, 90.00
301, -10.00, 1.0000, 90.00
302, 0.00, 1.0000, 90.00
