Episode, Total Reward, Epsilon, Best Reward
1, -10.00, 1.0000, -10.00
2, -10.00, 1.0000, -10.00
3, 0.00, 1.0000, 0.00
4, -20.00, 1.0000, 0.00
5, -10.00, 1.0000, 0.00
6, -10.00, 1.0000, 0.00
7, -10.00, 1.0000, 0.00
8, -10.00, 1.0000, 0.00
9, 90.00, 1.0000, 90.00
10, 0.00, 1.0000, 90.00
11, -10.00, 1.0000, 90.00
12, 0.00, 1.0000, 90.00
13, -10.00, 1.0000, 90.00
14, -10.00, 1.0000, 90.00
15, -10.00, 1.0000, 90.00
16, 0.00, 1.0000, 90.00
17, -10.00, 1.0000, 90.00
18, -10.00, 1.0000, 90.00
19, 0.00, 1.0000, 90.00
20, -10.00, 1.0000, 90.00
21, -10.00, 1.0000, 90.00
22, -10.00, 1.0000, 90.00
23, -20.00, 1.0000, 90.00
24, -20.00, 1.0000, 90.00
25, -20.00, 1.0000, 90.00
26, -10.00, 1.0000, 90.00
27, 0.00, 1.0000, 90.00
28, -10.00, 1.0000, 90.00
29, 0.00, 1.0000, 90.00
30, -10.00, 1.0000, 90.00
31, -10.00, 1.0000, 90.00
32, -10.00, 1.0000, 90.00
33, -10.00, 1.0000, 90.00
34, -10.00, 1.0000, 90.00
35, -10.00, 1.0000, 90.00
36, -10.00, 1.0000, 90.00
37, 0.00, 1.0000, 90.00
38, -10.00, 1.0000, 90.00
39, -10.00, 1.0000, 90.00
40, -10.00, 1.0000, 90.00
41, -10.00, 1.0000, 90.00
42, 20.00, 1.0000, 90.00
43, -10.00, 1.0000, 90.00
44, -10.00, 1.0000, 90.00
45, -10.00, 1.0000, 90.00
46, -10.00, 1.0000, 90.00
47, -10.00, 1.0000, 90.00
48, -20.00, 1.0000, 90.00
49, 0.00, 1.0000, 90.00
50, -10.00, 1.0000, 90.00
51, 0.00, 1.0000, 90.00
52, 0.00, 1.0000, 90.00
53, -10.00, 1.0000, 90.00
54, -10.00, 1.0000, 90.00
55, -10.00, 1.0000, 90.00
56, -10.00, 1.0000, 90.00
57, -20.00, 1.0000, 90.00
58, -20.00, 1.0000, 90.00
59, -10.00, 1.0000, 90.00
60, -10.00, 1.0000, 90.00
61, 0.00, 1.0000, 90.00
62, -10.00, 1.0000, 90.00
63, -10.00, 1.0000, 90.00
64, 0.00, 1.0000, 90.00
65, 20.00, 1.0000, 90.00
66, -10.00, 1.0000, 90.00
67, -10.00, 1.0000, 90.00
68, 0.00, 1.0000, 90.00
69, -10.00, 1.0000, 90.00
70, -20.00, 1.0000, 90.00
71, -10.00, 1.0000, 90.00
72, -10.00, 1.0000, 90.00
73, -10.00, 1.0000, 90.00
74, -10.00, 1.0000, 90.00
75, -10.00, 1.0000, 90.00
76, -10.00, 1.0000, 90.00
77, -10.00, 1.0000, 90.00
78, 0.00, 1.0000, 90.00
79, -20.00, 1.0000, 90.00
80, -10.00, 1.0000, 90.00
81, 0.00, 1.0000, 90.00
82, 0.00, 1.0000, 90.00
83, 20.00, 1.0000, 90.00
84, -10.00, 1.0000, 90.00
85, -10.00, 1.0000, 90.00
86, -10.00, 1.0000, 90.00
87, 0.00, 1.0000, 90.00
88, -10.00, 1.0000, 90.00
89, -10.00, 1.0000, 90.00
90, 0.00, 1.0000, 90.00
91, -10.00, 1.0000, 90.00
92, -10.00, 1.0000, 90.00
93, -10.00, 1.0000, 90.00
94, -10.00, 1.0000, 90.00
95, -10.00, 1.0000, 90.00
96, -10.00, 1.0000, 90.00
97, -10.00, 1.0000, 90.00
98, -10.00, 1.0000, 90.00
99, -10.00, 1.0000, 90.00
100, -10.00, 1.0000, 90.00
101, 0.00, 1.0000, 90.00
102, -10.00, 1.0000, 90.00
103, 0.00, 1.0000, 90.00
104, -10.00, 1.0000, 90.00
105, -10.00, 1.0000, 90.00
106, 0.00, 1.0000, 90.00
107, -10.00, 1.0000, 90.00
108, -10.00, 1.0000, 90.00
109, -10.00, 1.0000, 90.00
110, -10.00, 1.0000, 90.00
111, -10.00, 1.0000, 90.00
112, -10.00, 1.0000, 90.00
113, 20.00, 1.0000, 90.00
114, -10.00, 1.0000, 90.00
115, -10.00, 1.0000, 90.00
116, -10.00, 1.0000, 90.00
117, -10.00, 1.0000, 90.00
118, -10.00, 1.0000, 90.00
119, 0.00, 1.0000, 90.00
120, -10.00, 1.0000, 90.00
121, -10.00, 1.0000, 90.00
122, -10.00, 1.0000, 90.00
123, -10.00, 1.0000, 90.00
124, 0.00, 1.0000, 90.00
125, -10.00, 1.0000, 90.00
126, 0.00, 1.0000, 90.00
127, -10.00, 1.0000, 90.00
128, 0.00, 1.0000, 90.00
129, -20.00, 1.0000, 90.00
130, 0.00, 1.0000, 90.00
131, 0.00, 1.0000, 90.00
132, -10.00, 1.0000, 90.00
133, -10.00, 1.0000, 90.00
134, -10.00, 1.0000, 90.00
135, -10.00, 1.0000, 90.00
136, -10.00, 1.0000, 90.00
137, -10.00, 1.0000, 90.00
138, 0.00, 1.0000, 90.00
139, -10.00, 1.0000, 90.00
140, -10.00, 1.0000, 90.00
141, -10.00, 1.0000, 90.00
142, -10.00, 1.0000, 90.00
143, 0.00, 1.0000, 90.00
144, -10.00, 1.0000, 90.00
145, 0.00, 1.0000, 90.00
146, -10.00, 1.0000, 90.00
147, -10.00, 1.0000, 90.00
148, 20.00, 1.0000, 90.00
149, -20.00, 1.0000, 90.00
150, -10.00, 1.0000, 90.00
151, -10.00, 1.0000, 90.00
152, -10.00, 1.0000, 90.00
153, -10.00, 1.0000, 90.00
154, 0.00, 1.0000, 90.00
155, -10.00, 1.0000, 90.00
156, -20.00, 1.0000, 90.00
157, -10.00, 1.0000, 90.00
158, -10.00, 1.0000, 90.00
159, 0.00, 1.0000, 90.00
160, -10.00, 1.0000, 90.00
161, -10.00, 1.0000, 90.00
162, -10.00, 1.0000, 90.00
163, -10.00, 1.0000, 90.00
164, -10.00, 1.0000, 90.00
165, 0.00, 1.0000, 90.00
166, -10.00, 1.0000, 90.00
167, -10.00, 1.0000, 90.00
168, -10.00, 1.0000, 90.00
169, -10.00, 1.0000, 90.00
170, -10.00, 1.0000, 90.00
171, -20.00, 1.0000, 90.00
172, -10.00, 1.0000, 90.00
173, -10.00, 1.0000, 90.00
174, -10.00, 1.0000, 90.00
175, -10.00, 1.0000, 90.00
176, -10.00, 1.0000, 90.00
177, -10.00, 1.0000, 90.00
178, -10.00, 1.0000, 90.00
179, -20.00, 1.0000, 90.00
180, 0.00, 1.0000, 90.00
181, -10.00, 1.0000, 90.00
182, -20.00, 1.0000, 90.00
183, 0.00, 1.0000, 90.00
184, -10.00, 1.0000, 90.00
185, -10.00, 1.0000, 90.00
186, 0.00, 1.0000, 90.00
187, -10.00, 1.0000, 90.00
188, -10.00, 1.0000, 90.00
189, 0.00, 1.0000, 90.00
190, -20.00, 1.0000, 90.00
191, -10.00, 1.0000, 90.00
192, -10.00, 1.0000, 90.00
193, -10.00, 1.0000, 90.00
194, 0.00, 1.0000, 90.00
195, -20.00, 1.0000, 90.00
196, -10.00, 1.0000, 90.00
197, 20.00, 1.0000, 90.00
198, 0.00, 1.0000, 90.00
199, 0.00, 1.0000, 90.00
200, -10.00, 1.0000, 90.00
201, -10.00, 1.0000, 90.00
202, -20.00, 1.0000, 90.00
203, 0.00, 1.0000, 90.00
204, 0.00, 1.0000, 90.00
205, -10.00, 1.0000, 90.00
206, -10.00, 1.0000, 90.00
207, 0.00, 1.0000, 90.00
208, 0.00, 1.0000, 90.00
209, -10.00, 1.0000, 90.00
210, -10.00, 1.0000, 90.00
211, -10.00, 1.0000, 90.00
212, -10.00, 1.0000, 90.00
213, -10.00, 1.0000, 90.00
214, -20.00, 1.0000, 90.00
215, -10.00, 1.0000, 90.00
216, -10.00, 1.0000, 90.00
217, 0.00, 1.0000, 90.00
218, -10.00, 1.0000, 90.00
219, -10.00, 1.0000, 90.00
220, -10.00, 1.0000, 90.00
221, -10.00, 1.0000, 90.00
222, -10.00, 1.0000, 90.00
223, -10.00, 1.0000, 90.00
224, -10.00, 1.0000, 90.00
225, 0.00, 1.0000, 90.00
226, -20.00, 1.0000, 90.00
227, -10.00, 1.0000, 90.00
228, -10.00, 1.0000, 90.00
229, -10.00, 1.0000, 90.00
230, -10.00, 1.0000, 90.00
231, -10.00, 1.0000, 90.00
232, -10.00, 1.0000, 90.00
233, 20.00, 1.0000, 90.00
234, 0.00, 1.0000, 90.00
235, -10.00, 1.0000, 90.00
236, -10.00, 1.0000, 90.00
237, 20.00, 1.0000, 90.00
238, -10.00, 1.0000, 90.00
239, -10.00, 1.0000, 90.00
240, 20.00, 1.0000, 90.00
241, -10.00, 1.0000, 90.00
242, -20.00, 1.0000, 90.00
243, -10.00, 1.0000, 90.00
244, -10.00, 1.0000, 90.00
245, 0.00, 1.0000, 90.00
246, -10.00, 1.0000, 90.00
247, -10.00, 1.0000, 90.00
248, -10.00, 1.0000, 90.00
249, -10.00, 1.0000, 90.00
250, 50.00, 1.0000, 90.00
251, -10.00, 1.0000, 90.00
252, 0.00, 1.0000, 90.00
253, -10.00, 1.0000, 90.00
254, -10.00, 1.0000, 90.00
255, -10.00, 1.0000, 90.00
256, -10.00, 1.0000, 90.00
257, -10.00, 1.0000, 90.00
258, 20.00, 1.0000, 90.00
259, -10.00, 1.0000, 90.00
260, -10.00, 1.0000, 90.00
261, -10.00, 1.0000, 90.00
262, -10.00, 1.0000, 90.00
263, 0.00, 1.0000, 90.00
264, -10.00, 1.0000, 90.00
265, -10.00, 1.0000, 90.00
266, -10.00, 1.0000, 90.00
267, -10.00, 1.0000, 90.00
268, -10.00, 1.0000, 90.00
269, -10.00, 1.0000, 90.00
270, 0.00, 1.0000, 90.00
271, -10.00, 1.0000, 90.00
272, -10.00, 1.0000, 90.00
273, 50.00, 1.0000, 90.00
274, -10.00, 1.0000, 90.00
275, -10.00, 1.0000, 90.00
276, -10.00, 1.0000, 90.00
277, -10.00, 1.0000, 90.00
278, -20.00, 1.0000, 90.00
279, -10.00, 1.0000, 90.00
280, -10.00, 1.0000, 90.00
281, -10.00, 1.0000, 90.00
282, 0.00, 1.0000, 90.00
283, 0.00, 1.0000, 90.00
284, -10.00, 1.0000, 90.00
285, 0.00, 1.0000, 90.00
286, 50.00, 1.0000, 90.00
287, -10.00, 1.0000, 90.00
288, -10.00, 1.0000, 90.00
289, -10.00, 1.0000, 90.00
290, -10.00, 1.0000, 90.00
291, -10.00, 1.0000, 90.00
292, 20.00, 1.0000, 90.00
293, 0.00, 1.0000, 90.00
294, -20.00, 1.0000, 90.00
295, -10.00, 1.0000, 90.00
296, -10.00, 1.0000, 90.00
297, -10.00, 1.0000, 90.00
298, -20.00, 1.0000, 90.00
299, -10.00, 1.0000, 90.00
300, -10.00, 1.0000, 90.00
301, 0.00, 1.0000, 90.00
302, -10.00, 1.0000, 90.00
