Episode, Total Reward, Epsilon, Best Reward
1, -10.00, 1.0000, -10.00
2, -10.00, 1.0000, -10.00
3, -10.00, 1.0000, -10.00
4, -10.00, 1.0000, -10.00
5, -10.00, 1.0000, -10.00
6, 20.00, 1.0000, 20.00
7, -10.00, 1.0000, 20.00
8, -10.00, 1.0000, 20.00
9, -10.00, 1.0000, 20.00
10, -10.00, 1.0000, 20.00
11, -10.00, 1.0000, 20.00
12, 20.00, 1.0000, 20.00
13, 0.00, 1.0000, 20.00
14, 0.00, 1.0000, 20.00
15, -10.00, 1.0000, 20.00
16, -10.00, 1.0000, 20.00
17, -10.00, 1.0000, 20.00
18, -10.00, 1.0000, 20.00
19, -10.00, 1.0000, 20.00
20, 0.00, 1.0000, 20.00
21, -10.00, 1.0000, 20.00
22, 0.00, 1.0000, 20.00
23, -10.00, 1.0000, 20.00
24, 0.00, 1.0000, 20.00
25, 0.00, 1.0000, 20.00
26, 20.00, 1.0000, 20.00
27, -10.00, 1.0000, 20.00
28, -10.00, 1.0000, 20.00
29, -10.00, 1.0000, 20.00
30, -10.00, 1.0000, 20.00
31, -10.00, 1.0000, 20.00
32, -20.00, 1.0000, 20.00
33, -10.00, 1.0000, 20.00
34, 0.00, 1.0000, 20.00
35, -10.00, 1.0000, 20.00
36, -10.00, 1.0000, 20.00
37, 20.00, 1.0000, 20.00
38, 20.00, 1.0000, 20.00
39, 50.00, 1.0000, 50.00
40, -10.00, 1.0000, 50.00
41, -10.00, 1.0000, 50.00
42, 20.00, 1.0000, 50.00
43, -10.00, 1.0000, 50.00
44, -10.00, 1.0000, 50.00
45, -10.00, 1.0000, 50.00
46, -10.00, 1.0000, 50.00
47, 0.00, 1.0000, 50.00
48, -10.00, 1.0000, 50.00
49, -10.00, 1.0000, 50.00
50, 0.00, 1.0000, 50.00
51, 20.00, 1.0000, 50.00
52, 0.00, 1.0000, 50.00
53, -10.00, 1.0000, 50.00
54, -10.00, 1.0000, 50.00
55, -10.00, 1.0000, 50.00
56, -10.00, 1.0000, 50.00
57, -10.00, 1.0000, 50.00
58, 0.00, 1.0000, 50.00
59, -10.00, 1.0000, 50.00
60, -10.00, 1.0000, 50.00
61, -10.00, 1.0000, 50.00
62, 0.00, 1.0000, 50.00
63, -10.00, 1.0000, 50.00
64, 20.00, 1.0000, 50.00
65, 0.00, 1.0000, 50.00
66, -10.00, 1.0000, 50.00
67, -10.00, 1.0000, 50.00
68, -10.00, 1.0000, 50.00
69, -10.00, 1.0000, 50.00
70, 0.00, 1.0000, 50.00
71, -20.00, 1.0000, 50.00
72, -10.00, 1.0000, 50.00
73, -10.00, 1.0000, 50.00
74, -10.00, 1.0000, 50.00
75, -10.00, 1.0000, 50.00
76, -10.00, 1.0000, 50.00
77, -20.00, 1.0000, 50.00
78, -10.00, 1.0000, 50.00
79, -10.00, 1.0000, 50.00
80, -10.00, 1.0000, 50.00
81, -10.00, 1.0000, 50.00
82, -10.00, 1.0000, 50.00
83, -10.00, 1.0000, 50.00
84, -10.00, 1.0000, 50.00
85, -10.00, 1.0000, 50.00
86, 0.00, 1.0000, 50.00
87, -10.00, 1.0000, 50.00
88, -10.00, 1.0000, 50.00
89, -10.00, 1.0000, 50.00
90, -10.00, 1.0000, 50.00
91, -10.00, 1.0000, 50.00
92, -10.00, 1.0000, 50.00
93, -10.00, 1.0000, 50.00
94, -10.00, 1.0000, 50.00
95, -10.00, 1.0000, 50.00
96, -10.00, 1.0000, 50.00
97, -20.00, 1.0000, 50.00
98, -10.00, 1.0000, 50.00
99, -10.00, 1.0000, 50.00
100, -10.00, 1.0000, 50.00
101, -10.00, 1.0000, 50.00
102, 20.00, 1.0000, 50.00
103, -10.00, 1.0000, 50.00
104, -20.00, 1.0000, 50.00
105, -10.00, 1.0000, 50.00
106, 0.00, 1.0000, 50.00
107, -10.00, 1.0000, 50.00
108, -10.00, 1.0000, 50.00
109, -10.00, 1.0000, 50.00
110, 0.00, 1.0000, 50.00
111, -10.00, 1.0000, 50.00
112, -10.00, 1.0000, 50.00
113, -10.00, 1.0000, 50.00
114, -10.00, 1.0000, 50.00
115, 0.00, 1.0000, 50.00
116, -10.00, 1.0000, 50.00
117, 0.00, 1.0000, 50.00
118, 20.00, 1.0000, 50.00
119, -10.00, 1.0000, 50.00
120, -10.00, 1.0000, 50.00
121, -10.00, 1.0000, 50.00
122, -10.00, 1.0000, 50.00
123, -10.00, 1.0000, 50.00
124, 0.00, 1.0000, 50.00
125, -10.00, 1.0000, 50.00
126, -10.00, 1.0000, 50.00
127, -10.00, 1.0000, 50.00
128, -10.00, 1.0000, 50.00
129, -20.00, 1.0000, 50.00
130, 20.00, 1.0000, 50.00
131, -10.00, 1.0000, 50.00
132, -20.00, 1.0000, 50.00
133, -10.00, 1.0000, 50.00
134, -10.00, 1.0000, 50.00
135, -10.00, 1.0000, 50.00
136, 0.00, 1.0000, 50.00
137, -10.00, 1.0000, 50.00
138, -20.00, 1.0000, 50.00
139, -10.00, 1.0000, 50.00
140, -10.00, 1.0000, 50.00
141, -10.00, 1.0000, 50.00
142, -10.00, 1.0000, 50.00
143, -10.00, 1.0000, 50.00
144, -10.00, 1.0000, 50.00
145, -10.00, 1.0000, 50.00
146, -10.00, 1.0000, 50.00
147, -20.00, 1.0000, 50.00
148, -10.00, 1.0000, 50.00
149, -10.00, 1.0000, 50.00
150, -10.00, 1.0000, 50.00
151, 20.00, 1.0000, 50.00
152, -10.00, 1.0000, 50.00
153, -10.00, 1.0000, 50.00
154, -20.00, 1.0000, 50.00
155, -10.00, 1.0000, 50.00
156, 0.00, 1.0000, 50.00
157, -20.00, 1.0000, 50.00
158, -10.00, 1.0000, 50.00
159, -10.00, 1.0000, 50.00
160, -10.00, 1.0000, 50.00
161, -10.00, 1.0000, 50.00
162, -10.00, 1.0000, 50.00
163, -10.00, 1.0000, 50.00
164, -10.00, 1.0000, 50.00
165, -10.00, 1.0000, 50.00
166, -10.00, 1.0000, 50.00
167, -10.00, 1.0000, 50.00
168, -20.00, 1.0000, 50.00
169, -10.00, 1.0000, 50.00
170, -10.00, 1.0000, 50.00
171, -20.00, 1.0000, 50.00
172, -10.00, 1.0000, 50.00
173, -10.00, 1.0000, 50.00
174, 0.00, 1.0000, 50.00
175, -10.00, 1.0000, 50.00
176, -10.00, 1.0000, 50.00
177, -10.00, 1.0000, 50.00
178, -10.00, 1.0000, 50.00
179, 0.00, 1.0000, 50.00
180, -10.00, 1.0000, 50.00
181, -10.00, 1.0000, 50.00
182, 0.00, 1.0000, 50.00
183, -10.00, 1.0000, 50.00
184, -10.00, 1.0000, 50.00
185, -10.00, 1.0000, 50.00
186, -10.00, 1.0000, 50.00
187, -10.00, 1.0000, 50.00
188, -10.00, 1.0000, 50.00
189, -10.00, 1.0000, 50.00
190, 0.00, 1.0000, 50.00
191, -10.00, 1.0000, 50.00
192, 0.00, 1.0000, 50.00
193, -10.00, 1.0000, 50.00
194, -10.00, 1.0000, 50.00
195, -10.00, 1.0000, 50.00
196, 20.00, 1.0000, 50.00
197, -10.00, 1.0000, 50.00
198, 0.00, 1.0000, 50.00
199, -10.00, 1.0000, 50.00
200, -10.00, 1.0000, 50.00
201, -10.00, 1.0000, 50.00
202, -10.00, 1.0000, 50.00
203, 0.00, 1.0000, 50.00
204, -10.00, 1.0000, 50.00
205, 0.00, 1.0000, 50.00
206, 0.00, 1.0000, 50.00
207, -10.00, 1.0000, 50.00
208, -10.00, 1.0000, 50.00
209, 0.00, 1.0000, 50.00
210, -10.00, 1.0000, 50.00
211, 0.00, 1.0000, 50.00
212, -10.00, 1.0000, 50.00
213, -10.00, 1.0000, 50.00
214, -20.00, 1.0000, 50.00
215, 20.00, 1.0000, 50.00
216, -10.00, 1.0000, 50.00
217, -10.00, 1.0000, 50.00
218, -10.00, 1.0000, 50.00
219, -20.00, 1.0000, 50.00
220, -10.00, 1.0000, 50.00
221, -10.00, 1.0000, 50.00
222, -10.00, 1.0000, 50.00
223, -10.00, 1.0000, 50.00
224, -10.00, 1.0000, 50.00
225, -10.00, 1.0000, 50.00
226, -10.00, 1.0000, 50.00
227, -20.00, 1.0000, 50.00
228, 90.00, 1.0000, 90.00
229, -10.00, 1.0000, 90.00
230, -10.00, 1.0000, 90.00
231, -10.00, 1.0000, 90.00
232, -10.00, 1.0000, 90.00
233, -10.00, 1.0000, 90.00
234, -20.00, 1.0000, 90.00
235, -10.00, 1.0000, 90.00
236, -10.00, 1.0000, 90.00
237, -10.00, 1.0000, 90.00
238, 0.00, 1.0000, 90.00
239, -10.00, 1.0000, 90.00
240, -10.00, 1.0000, 90.00
241, -20.00, 1.0000, 90.00
242, -10.00, 1.0000, 90.00
243, -20.00, 1.0000, 90.00
244, -10.00, 1.0000, 90.00
245, -10.00, 1.0000, 90.00
246, 50.00, 1.0000, 90.00
247, -10.00, 1.0000, 90.00
248, -10.00, 1.0000, 90.00
249, -10.00, 1.0000, 90.00
250, 0.00, 1.0000, 90.00
251, 0.00, 1.0000, 90.00
252, -10.00, 1.0000, 90.00
253, -10.00, 1.0000, 90.00
254, 0.00, 1.0000, 90.00
255, 0.00, 1.0000, 90.00
256, 20.00, 1.0000, 90.00
257, -10.00, 1.0000, 90.00
258, -10.00, 1.0000, 90.00
259, -10.00, 1.0000, 90.00
260, -10.00, 1.0000, 90.00
261, -10.00, 1.0000, 90.00
262, -10.00, 1.0000, 90.00
263, -10.00, 1.0000, 90.00
264, 0.00, 1.0000, 90.00
265, -10.00, 1.0000, 90.00
266, -10.00, 1.0000, 90.00
267, 0.00, 1.0000, 90.00
268, -10.00, 1.0000, 90.00
269, -10.00, 1.0000, 90.00
270, -10.00, 1.0000, 90.00
271, 0.00, 1.0000, 90.00
272, -10.00, 1.0000, 90.00
273, -10.00, 1.0000, 90.00
274, -10.00, 1.0000, 90.00
275, -10.00, 1.0000, 90.00
276, 0.00, 1.0000, 90.00
277, -10.00, 1.0000, 90.00
278, -10.00, 1.0000, 90.00
279, -10.00, 1.0000, 90.00
280, -20.00, 1.0000, 90.00
281, -10.00, 1.0000, 90.00
282, -10.00, 1.0000, 90.00
283, -20.00, 1.0000, 90.00
284, -10.00, 1.0000, 90.00
285, 0.00, 1.0000, 90.00
286, -10.00, 1.0000, 90.00
287, 20.00, 1.0000, 90.00
288, -10.00, 1.0000, 90.00
289, -10.00, 1.0000, 90.00
290, -10.00, 1.0000, 90.00
291, -10.00, 1.0000, 90.00
292, 0.00, 1.0000, 90.00
293, 0.00, 1.0000, 90.00
294, -10.00, 1.0000, 90.00
295, -10.00, 1.0000, 90.00
296, 20.00, 1.0000, 90.00
297, -10.00, 1.0000, 90.00
298, -10.00, 1.0000, 90.00
299, -10.00, 1.0000, 90.00
300, 20.00, 1.0000, 90.00
301, -10.00, 1.0000, 90.00
302, 0.00, 1.0000, 90.00
