Episode, Total Reward, Epsilon, Best Reward
1, -10.00, 1.0000, -10.00
2811, 50.00, 0.0500, 3240.00
2, -10.00, 1.0000, -10.00
3, -10.00, 1.0000, -10.00
4, -20.00, 1.0000, -10.00
5, 0.00, 1.0000, 0.00
2812, 0.00, 0.0500, 3240.00
6, -10.00, 1.0000, 0.00
7, -10.00, 1.0000, 0.00
8, -10.00, 1.0000, 0.00
9, -20.00, 1.0000, 0.00
10, -10.00, 1.0000, 0.00
11, 0.00, 1.0000, 0.00
12, 0.00, 1.0000, 0.00
13, -10.00, 1.0000, 0.00
2813, 1350.00, 0.0500, 3240.00
2814, 650.00, 0.0500, 3240.00
2815, 140.00, 0.0500, 3240.00
2816, 900.00, 0.0500, 3240.00
2817, 0.00, 0.0500, 3240.00
2818, -20.00, 0.0500, 3240.00
2819, -10.00, 0.0500, 3240.00
2820, 0.00, 0.0500, 3240.00
2821, -60.00, 0.0500, 3240.00
2822, -60.00, 0.0500, 3240.00
2823, 440.00, 0.0500, 3240.00
2824, 0.00, 0.0500, 3240.00
2825, 270.00, 0.0500, 3240.00
2826, 20.00, 0.0500, 3240.00
2827, 650.00, 0.0500, 3240.00
2828, 200.00, 0.0500, 3240.00
2829, 270.00, 0.0500, 3240.00
2830, -60.00, 0.0500, 3240.00
2831, 20.00, 0.0500, 3240.00
2832, -10.00, 0.0500, 3240.00
2833, -10.00, 0.0500, 3240.00
2834, 20.00, 0.0500, 3240.00
2835, -10.00, 0.0500, 3240.00
2836, 80.00, 0.0500, 3240.00
2837, -10.00, 0.0500, 3240.00
2838, -10.00, 0.0500, 3240.00
2839, 0.00, 0.0500, 3240.00
2840, -20.00, 0.0500, 3240.00
2841, 90.00, 0.0500, 3240.00
2842, 20.00, 0.0500, 3240.00
2843, -10.00, 0.0500, 3240.00
2844, 0.00, 0.0500, 3240.00
2845, -10.00, 0.0500, 3240.00
2846, 50.00, 0.0500, 3240.00
2847, 90.00, 0.0500, 3240.00
2848, 40.00, 0.0500, 3240.00
2849, -10.00, 0.0500, 3240.00
2850, -20.00, 0.0500, 3240.00
2851, -20.00, 0.0500, 3240.00
2852, 80.00, 0.0500, 3240.00
2853, 140.00, 0.0500, 3240.00
2854, -10.00, 0.0500, 3240.00
2855, -20.00, 0.0500, 3240.00
2856, 20.00, 0.0500, 3240.00
2857, -20.00, 0.0500, 3240.00
2858, 20.00, 0.0500, 3240.00
2859, 0.00, 0.0500, 3240.00
2860, 20.00, 0.0500, 3240.00
2861, -10.00, 0.0500, 3240.00
2862, 0.00, 0.0500, 3240.00
2863, 0.00, 0.0500, 3240.00
2864, -20.00, 0.0500, 3240.00
2865, 0.00, 0.0500, 3240.00
2866, 130.00, 0.0500, 3240.00
2867, 270.00, 0.0500, 3240.00
2868, 0.00, 0.0500, 3240.00
2869, 0.00, 0.0500, 3240.00
2870, -20.00, 0.0500, 3240.00
2871, -10.00, 0.0500, 3240.00
2872, 20.00, 0.0500, 3240.00
2873, -20.00, 0.0500, 3240.00
2874, 340.00, 0.0500, 3240.00
2875, 190.00, 0.0500, 3240.00
2876, 350.00, 0.0500, 3240.00
2877, -20.00, 0.0500, 3240.00
2878, -20.00, 0.0500, 3240.00
2879, 90.00, 0.0500, 3240.00
2880, -60.00, 0.0500, 3240.00
2881, -20.00, 0.0500, 3240.00
2882, 0.00, 0.0500, 3240.00
2883, -10.00, 0.0500, 3240.00
2884, 50.00, 0.0500, 3240.00
2885, -20.00, 0.0500, 3240.00
2886, 90.00, 0.0500, 3240.00
2887, -10.00, 0.0500, 3240.00
2888, 140.00, 0.0500, 3240.00
2889, 0.00, 0.0500, 3240.00
2890, -20.00, 0.0500, 3240.00
2891, 0.00, 0.0500, 3240.00
2892, 20.00, 0.0500, 3240.00
2893, 0.00, 0.0500, 3240.00
2894, -20.00, 0.0500, 3240.00
2895, 0.00, 0.0500, 3240.00
2896, -10.00, 0.0500, 3240.00
2897, -10.00, 0.0500, 3240.00
2898, -10.00, 0.0500, 3240.00
2899, -10.00, 0.0500, 3240.00
2900, 20.00, 0.0500, 3240.00
2901, -20.00, 0.0500, 3240.00
2902, 0.00, 0.0500, 3240.00
2903, -20.00, 0.0500, 3240.00
2904, -10.00, 0.0500, 3240.00
2905, -10.00, 0.0500, 3240.00
2906, -10.00, 0.0500, 3240.00
2907, -10.00, 0.0500, 3240.00
2908, -20.00, 0.0500, 3240.00
2909, 50.00, 0.0500, 3240.00
2910, 50.00, 0.0500, 3240.00
2911, 200.00, 0.0500, 3240.00
2912, 50.00, 0.0500, 3240.00
2913, 0.00, 0.0500, 3240.00
2914, 0.00, 0.0500, 3240.00
2915, -60.00, 0.0500, 3240.00
2916, 20.00, 0.0500, 3240.00
2917, -10.00, 0.0500, 3240.00
2918, 0.00, 0.0500, 3240.00
2919, -10.00, 0.0500, 3240.00
2920, -20.00, 0.0500, 3240.00
2921, 50.00, 0.0500, 3240.00
2922, -20.00, 0.0500, 3240.00
2923, -10.00, 0.0500, 3240.00
2924, 20.00, 0.0500, 3240.00
2925, -10.00, 0.0500, 3240.00
2926, -10.00, 0.0500, 3240.00
2927, -10.00, 0.0500, 3240.00
2928, -20.00, 0.0500, 3240.00
2929, 90.00, 0.0500, 3240.00
2930, -60.00, 0.0500, 3240.00
2931, -10.00, 0.0500, 3240.00
2932, -20.00, 0.0500, 3240.00
2933, -20.00, 0.0500, 3240.00
2934, -20.00, 0.0500, 3240.00
2935, -10.00, 0.0500, 3240.00
2936, -10.00, 0.0500, 3240.00
2937, -20.00, 0.0500, 3240.00
2938, 40.00, 0.0500, 3240.00
2939, -20.00, 0.0500, 3240.00
2940, -10.00, 0.0500, 3240.00
2941, 20.00, 0.0500, 3240.00
2942, 140.00, 0.0500, 3240.00
2943, -20.00, 0.0500, 3240.00
2944, -20.00, 0.0500, 3240.00
2945, -10.00, 0.0500, 3240.00
2946, -10.00, 0.0500, 3240.00
2947, -60.00, 0.0500, 3240.00
2948, -10.00, 0.0500, 3240.00
2949, 0.00, 0.0500, 3240.00
2950, 80.00, 0.0500, 3240.00
2951, 130.00, 0.0500, 3240.00
2952, 10.00, 0.0500, 3240.00
2953, -20.00, 0.0500, 3240.00
2954, -20.00, 0.0500, 3240.00
2955, -20.00, 0.0500, 3240.00
2956, -20.00, 0.0500, 3240.00
2957, -10.00, 0.0500, 3240.00
2958, -10.00, 0.0500, 3240.00
2959, -20.00, 0.0500, 3240.00
2960, -10.00, 0.0500, 3240.00
2961, -20.00, 0.0500, 3240.00
2962, -10.00, 0.0500, 3240.00
2963, -10.00, 0.0500, 3240.00
2964, -10.00, 0.0500, 3240.00
2965, -20.00, 0.0500, 3240.00
2966, -10.00, 0.0500, 3240.00
2967, 10.00, 0.0500, 3240.00
2968, -20.00, 0.0500, 3240.00
2969, -10.00, 0.0500, 3240.00
2970, -10.00, 0.0500, 3240.00
2971, -10.00, 0.0500, 3240.00
2972, 0.00, 0.0500, 3240.00
2973, 200.00, 0.0500, 3240.00
2974, 50.00, 0.0500, 3240.00
2975, 0.00, 0.0500, 3240.00
2976, 0.00, 0.0500, 3240.00
2977, 340.00, 0.0500, 3240.00
2978, -20.00, 0.0500, 3240.00
2979, -10.00, 0.0500, 3240.00
2980, 350.00, 0.0500, 3240.00
2981, -20.00, 0.0500, 3240.00
2982, -20.00, 0.0500, 3240.00
2983, -60.00, 0.0500, 3240.00
2984, -20.00, 0.0500, 3240.00
2985, -10.00, 0.0500, 3240.00
2986, 650.00, 0.0500, 3240.00
2987, 90.00, 0.0500, 3240.00
2988, -20.00, 0.0500, 3240.00
2989, 200.00, 0.0500, 3240.00
2990, -20.00, 0.0500, 3240.00
2991, 50.00, 0.0500, 3240.00
2992, -10.00, 0.0500, 3240.00
2993, 0.00, 0.0500, 3240.00
2994, -20.00, 0.0500, 3240.00
2995, 20.00, 0.0500, 3240.00
2996, -10.00, 0.0500, 3240.00
2997, -10.00, 0.0500, 3240.00
2998, 50.00, 0.0500, 3240.00
2999, -20.00, 0.0500, 3240.00
3000, -10.00, 0.0500, 3240.00
